,id,lat,lon,cluster,cluster_size,geohash,time_ratio_weekday_True,time_ratio_weekday_False
24947,9840,54.8846,38.0639,3,16,202320012230012131,0.0006073992269464,0.0
24948,9840,54.8795,38.0685,4,21,202320012230021031,0.0001380452788514,0.3172703832578166
24949,9840,54.8875,38.0639,5,64,202320012230012121,0.0052181115405853,0.0580769519613487
24950,9840,54.8823,38.0578,6,49,202320012230011101,0.0027332965212589,2.503316894885724e-05
24951,9840,54.8903,38.0667,7,15,202320012230321113,0.0018221976808393,0.0
24952,9840,54.8907,38.0688,8,32,202320012230312231,0.0077167310877967,0.0
24953,9840,54.8795,38.0627,9,11,202320012230012032,0.000289895085588,0.0
24954,9841,54.8678,38.1252,0,289,202320012233310030,0.96425719656367,0.9573390270451312
24955,9841,54.8698,38.1528,1,19,202320012300031130,0.0007829612713799,0.0426609729548689
24959,9844,54.8926,38.0953,0,42,202320012230211011,0.1407093124905709,0.0
24960,9844,54.8918,38.0966,1,290,202320012230211020,0.798665776633318,0.9699659574468084
24961,9844,54.8932,38.0983,2,43,202320012230211200,0.0096594795784879,0.0298893617021276
24962,9844,54.8918,38.0982,3,24,202320012230211132,0.0008535226927504,0.0
24963,9844,54.9128,38.0986,4,15,202320012230221131,0.0150017463115626,0.0
24964,9845,54.8835,38.0837,0,283,202320012230133211,0.7533907170517739,0.9258846834597306
24965,9845,54.8952,38.0782,1,126,202320012230311032,0.1624515939581918,0.0697900671644415
24968,9848,54.9101,38.0787,0,139,202320012230232222,1.0,1.0
24970,9850,54.8635,38.1379,0,863,202320012233331002,0.9945106335597372,0.981801972747943
24973,9852,54.8454,38.1806,0,320,202320012300330101,0.9659861906332124,0.9139610666575676
24974,9853,54.888,38.0864,0,504,202320012230203233,0.9792967668502168,1.0
24988,9862,54.894,38.079,0,85,202320012230200322,0.1025651530670308,0.0
24989,9862,54.887,38.0607,1,213,202320012230011212,0.2514988050529191,0.1300981722404022
24990,9862,54.8877,38.0592,2,53,202320012230322211,0.0833686127233413,0.5875967754808844
24991,9862,54.8864,38.0652,3,202,202320012230012211,0.4609354728576306,0.0
24992,9862,54.8851,38.0653,4,16,202320012230012210,0.0325708432912256,0.0
24993,9862,54.8846,38.0644,5,29,202320012230012130,0.0346011152839421,0.0
24994,9863,54.8822,38.0703,0,89,202320012230021022,0.0067423799138252,0.076720921739504
24995,9863,54.8803,38.0691,1,1087,202320012230021020,0.8409117506250332,0.6615013354911242
24996,9863,54.9011,38.0782,2,18,202320012230310330,0.0034789084525772,0.0032868119356386
